DataSet	target
GSE781	KEGG_Renal_cell_carcinoma
GSE1297	KEGG_Alzheimers_disease
GSE3585	KEGG_Dilated_cardiomyopathy
GSE9348	KEGG_Colorectal_cancer
GSE14762	KEGG_Renal_cell_carcinoma
GSE14924_CD4	KEGG_Acute_myeloid_leukemia
GSE14924_CD8	KEGG_Acute_myeloid_leukemia
GSE19728	KEGG_Glioma
GSE20164	KEGG_Parkinsons_disease
GSE20291	KEGG_Parkinsons_disease
GSE21354	KEGG_Glioma
GSE30153	KEGG_Systemic_lupus_erythematosus
GSE32676	KEGG_Pancreatic_cancer
GSE4107	KEGG_Colorectal_cancer
GSE4183	KEGG_Colorectal_cancer
GSE5281_EC	KEGG_Alzheimers_disease
GSE5281_HIP	KEGG_Alzheimers_disease
GSE5281_VCX	KEGG_Alzheimers_disease
GSE8762	KEGG_Huntingtons_disease
GSE9476	KEGG_Acute_myeloid_leukemia
GSE20153	KEGG_Parkinsons_disease
GSE24250	KEGG_Huntingtons_disease
GSE19420	KEGG_Type_II_diabetes_mellitus
GSE15932_Dia	KEGG_Type_II_diabetes_mellitus
GSE15932_Panc	KEGG_Pancreatic_cancer
